quote_data_for_nifi.tr_date,quote_data_for_nifi.tr_time,quote_data_for_nifi.bid_price,quote_data_for_nifi.bid_size,quote_data_for_nifi.ask_price,quote_data_for_nifi.ask_size,quote_data_for_nifi.market_flag,quote_data_for_nifi.quote_condition,quote_data_for_nifi.contract_commodity,quote_data_for_nifi.contract_month,quote_data_for_nifi.contract_year,quote_data_for_nifi.contract_expiry_date,quote_data_for_nifi.symbol,quote_data_for_nifi.tr_year,quote_data_for_nifi.tr_month
2017-01-17,2017-01-17 05:00:33.919,53.95,24,53.97,43,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.394,53.8,3,53.81,40,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.919,53.95,25,53.97,43,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.394,53.8,2,53.81,40,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.919,53.95,26,53.97,43,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.397,53.8,2,53.81,45,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.919,53.95,26,53.97,42,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.397,53.79,20,53.81,45,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.922,53.95,26,53.97,39,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.397,53.79,20,53.8,3,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.922,53.95,26,53.97,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.401,53.79,19,53.8,3,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.922,53.95,27,53.97,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,18,53.8,3,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.922,53.95,29,53.97,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,18,53.81,46,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.922,53.95,29,53.97,37,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,19,53.81,46,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.922,53.95,30,53.97,37,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,20,53.81,46,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.925,53.95,33,53.97,37,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,21,53.81,46,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.925,53.95,36,53.97,37,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,22,53.81,46,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.95,37,53.97,37,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.405,53.79,22,53.81,47,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.95,37,53.97,35,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.444,53.79,22,53.81,42,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.96,1,53.97,35,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.467,53.79,23,53.81,42,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.96,1,53.97,33,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.478,53.79,25,53.81,42,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.96,2,53.97,33,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.484,53.79,25,53.81,43,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.96,2,53.97,20,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.49,53.79,29,53.81,43,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.96,2,53.97,16,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.521,53.79,30,53.81,43,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.929,53.96,3,53.97,16,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,30,53.81,42,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.931,53.96,3,53.97,15,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,30,53.81,41,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.931,53.96,3,53.97,12,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,31,53.81,41,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.935,53.96,4,53.97,12,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,30,53.81,41,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.935,53.96,4,53.97,11,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,35,53.81,41,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.935,53.96,5,53.97,11,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,35,53.81,39,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.938,53.96,6,53.97,11,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,35,53.81,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.938,53.96,5,53.97,11,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.558,53.79,37,53.81,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.938,53.96,5,53.97,10,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.563,53.79,35,53.81,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.938,53.96,5,53.97,9,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.568,53.79,37,53.81,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-17,2017-01-17 05:00:33.938,53.96,4,53.97,9,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
2017-01-03,2017-01-03 11:43:18.568,53.8,1,53.81,38,E,,Nymex_WTI,3,2017,2017-02-21,CL,2017,1
